GRBa,GRB X-ray position,Error,Instrument,IPNb,XAb,OTb,RAb,IAUC,zc,ra,dec,sod,seen_by_fermi,fermi_in_game,name
240205B,23h25m54s -55° 08',3,Swift,y,y,y,y?,,0.824,351.47499999999997,-55.13333333333333,79986.78,False,True,
240204A,06h56m44s +01° 02',3,Swift,y,y,y,,,,104.18333333333332,1.0333333333333334,54458.68,False,True,
240128A,09h19m23s -05° 03',30,MAXI,y,,,,,,139.8458333333333,-5.05,0.0,False,False,
240125A,08h46m07s +66° 51',1476*3,IPN,y,,,,,,131.52916666666667,66.85,0.0,False,False,
240123C,16h16m19s -58° 51',420*3,IPN,y,,,,,,244.07916666666662,-58.85,0.0,False,False,
240123A,13h17m16s +60° 38',3,Swift,y,y,y,,,,199.31666666666666,60.63333333333333,39946.86,False,True,
240122A,06h11m18s -19° 02',30,MAXI,y,y,y,y,,3.162,92.82499999999999,-19.033333333333335,0.0,False,False,
240118A,01h14m18s +29° 47',3,Fermi,y,y,,,,,18.574999999999996,29.783333333333335,0.0,False,,
240115B,12h47m24s -35° 32',3,INTEGRAL,y,,,,,,191.84999999999997,-35.53333333333333,60355.09,False,True,
240114A,05h15m51s +33° 45',18,MAXI,,,,,,,78.96249999999999,33.75,0.0,False,False,
240112C,18h02m35s +24° 29',3,Swift,y,y,y,,,,270.6458333333333,24.483333333333334,63444.97,False,True,
240112A,19h17m38s +21° 28',288*3,IPN,y,,,,,,289.4083333333333,21.466666666666665,0.0,False,False,
240109AS,20h05m16s +16° 35',3,Swift,y,y,,,,,301.3166666666666,16.583333333333332,0.0,False,False,
240107A,19h52m03s -68° 14',30,MAXI,,,,,,,298.0125,-68.23333333333333,0.0,False,True,
240102A,06h27m23s -06° 01',3,Swift,,y,,,,,96.84583333333333,-6.016666666666667,0.0,False,False,
240101B,23h28m12s +51° 39',3,Swift,,y,,,,,352.04999999999995,51.65,0.0,False,False,
240101A,00h41m30s +08° 31',3,Swift,,y,,,,,10.374999999999998,8.516666666666667,0.0,False,False,
231230A,16h20m47s +58° 07',3,Swift,y,y,,,,,245.1958333333333,58.11666666666667,5348.73,False,True,
231222B,16h45m24s +19° 33',18,Fermi,y,y?,,,,,251.35,19.55,0.0,False,,
231220A,01h49m17s +77° 54',5,Swift,y,,,,,,27.32083333333333,77.9,58217.4,False,True,
231216A,02h39m02s +33° 36',3,Swift,,y,,,,,39.758333333333326,33.6,0.0,False,False,
231215A,00h39m00s +57° 39',3,Swift,y,y,y,,,y?,9.75,57.65,35245.27,False,True,
231214A,20h22m57s -72° 26',3,Swift,y,y,,,,,305.73749999999995,-72.43333333333334,73468.31,False,True,
231210B,06h23m05s -48° 22',3,Swift,,y,y,,,3.13,95.77083333333333,-48.36666666666667,0.0,False,False,
231205B,03h36m37s +27° 09',3,Swift,y,y,,,,,54.15416666666666,27.15,0.0,False,False,
231205A,13h31m45s +17° 56',58*2.4,IPN,y,,,,,,202.93749999999997,17.933333333333334,8711.41,False,True,
231129C,00h47m38s -81° 38',4,MAXI,y,y,,,,,11.908333333333331,-81.63333333333334,69018.11,False,True,
231129B,19h02m38s +40° 17',24,MAXI,,,,,,,285.6583333333333,40.28333333333333,0.0,False,False,
231129A,21h10m09s +41° 33',3,Swift,y,y,,,,,317.5375,41.55,0.0,False,False,
231118A,00h19m22s -48° 02',3,Swift,y,y,y,y,,0.8304,4.841666666666666,-48.03333333333333,62193.2,False,True,
231117AS,22h09m38s +13° 31',3,Swift,y,y,y,y,,0.257,332.40833333333325,13.516666666666667,0.0,False,False,
231115AS,09h56m00s +69° 41',2,INTEGRAL,y,,,,,,149.0,69.68333333333334,0.0,False,False,
231111A,19h20m56s +52° 27',3,Swift,y,y,y,,,1.179-2,290.2333333333333,52.45,0.0,False,False,
231110A,23h45m11s +82° 37',3,Swift,y,y,,,,,356.2958333333333,82.61666666666666,0.0,False,False,
231106A,07h33m48s +29° 13',0.1,TESS,y,,,,,,113.44999999999999,29.216666666666665,0.0,False,True,
231104A,01h35m09s +83° 37',3,Swift,y,y,,,,,23.787499999999998,83.61666666666666,6459.91,False,True,
231028A,14h16m07s +20° 54',3,Swift,y,,,,,,214.02916666666664,20.9,14949.55,False,True,
231020A,20h57m58s -29° 15',138*2,IPN,y,,,,,,314.4916666666666,-29.25,68218.3,False,True,
231018A,00h04m29s +47° 25',752*38,IPN,y,,,,,,1.1208333333333331,47.416666666666664,45010.66,False,True,
231017A,05h44m46s +56° 40',6,Swift,y,,,,,,86.19166666666666,56.666666666666664,29103.3,False,True,
230919AS,04h46m29s +44° 05',216*3,IPN,y,,,,,,71.62083333333332,44.083333333333336,0.0,False,False,
230913A,17h49m23s +74° 29',5,Swift,y,,,,,,267.3458333333333,74.48333333333333,28572.16,False,True,
230911D,10h07m36s -25° 58',3,Fermi,y,,,,,,151.89999999999998,-25.966666666666665,0.0,False,,
230911C,15h07m08s -41° 20',3,Swift,,y,n,?,,,226.78333333333333,-41.333333333333336,0.0,False,False,
230911A,03h50m01s -29° 50',240,Fermi,y,y,,,,,57.50416666666666,-29.833333333333332,0.0,False,,
230906A,05h19m02s -47° 53',12*2,IPN,y,?,,,,,79.75833333333333,-47.88333333333333,46507.15,False,True,
230903A,00h39m42s -40° 55',3,Swift,y,y,?,,,,9.925,-40.916666666666664,62576.24,False,True,
230827B,19h58m33s +54° 28',3,Fermi,y,y,y,,,,299.63749999999993,54.46666666666667,0.0,False,,
230826A,05h32m03s +66° 07',3,Swift,y,y,,,,,83.01249999999999,66.11666666666666,70367.07,False,True,
230818A,19h03m32s +40° 53',3,Swift,y,y,y,n,,2.42,285.8833333333333,40.88333333333333,84454.35,False,True,
230816A,21h53m30s +37° 50',3,Swift,,y,y,,,,328.37499999999994,37.833333333333336,0.0,False,False,
230815B,20h29m20s +04° 11',150*3,IPN,y,,,,,,307.3333333333333,4.183333333333334,0.0,False,False,
230815A,12h18m54s -58° 03',3,Swift,y,y,y,,,,184.725,-58.05,38995.94,False,True,
230812B,17h48m25s +11° 39',3,Swift,y,y,y,y,,0.360,267.10416666666663,11.65,68292.05,False,True,
230805B,13h50m59s +31° 11',3,Swift,y,y,y,,,,207.7458333333333,31.183333333333334,41031.07,False,True,
230803A,10h02m02s -64° 59',168*3,IPN,y,,,,,,150.50833333333333,-64.98333333333333,5228.15,False,True,
230802A,05h04m53s +19° 34',3,Swift,y,y,,,,,76.22083333333332,19.566666666666666,24626.16,False,True,
230728A,22h54m09s +28° 09',3,Swift,y,y,,,,,343.53749999999997,28.15,10203.22,False,True,
230723B,16h41m31s -05° 20',3,Swift,y,y,,,,,250.37916666666663,-5.333333333333333,42152.88,False,True,
230723A,01h31m38s -67° 04',126*2,IPN,y,,,,,,22.90833333333333,-67.06666666666666,16723.47,False,True,
230707A,11h32m48s -16° 25',3,Swift,y,,,,,,173.2,-16.416666666666668,12171.96,False,True,
230628E,11h27m22s -11° 27',3,Swift,,y,y,,,<2,171.8416666666666,-11.45,0.0,False,False,
230623A,23h19m55s -17° 50',14,MAXI,,,,,,,349.97916666666663,-17.833333333333332,0.0,False,False,
230622A,19h30m08s -32° 55',3,Swift,,y,n,,,,292.5333333333333,-32.916666666666664,0.0,False,False,
230618A,13h06m25s +03° 18',3,Swift,,y,y,,,,196.60416666666663,3.3,0.0,False,False,
230616AS,12h48m08s +05° 41',0.3*4,INTEGRAL,y,,,,,,192.03333333333333,5.683333333333334,0.0,False,False,
230606A,11h07m08s +36° 30',3,Swift,y,y,y,,,,166.78333333333333,36.5,0.0,False,True,
230520A,09h29m41s +01° 31',3,MAXI,,,,,,,142.4208333333333,1.5166666666666666,0.0,False,False,
230512A,19h41m36s +38° 24',18,Fermi,y,y,,,,,295.4,38.4,0.0,False,,
230510B,00h02m46s +27° 32',10,MAXI,y,,,,,,0.6916666666666665,27.533333333333335,76894.01,False,True,
230510A,21h12m37s +34° 27',3,Swift,y,y,y,,,,318.1541666666666,34.45,43588.58,False,True,
230506C,08h57m30s +45° 08',3,Swift,y,y,?,,,,134.37499999999997,45.13333333333333,61759.35,False,True,
230506B,21h47m58s +44° 32',3,Swift,y,y,,,,,326.9916666666667,44.53333333333333,0.0,False,True,
230430AS,12h45m20s +33° 55',22*3,IPN,y,,,,,,191.33333333333331,33.916666666666664,0.0,False,False,
230427A,10h13m18s +48° 11',3,Swift,,y,y,,,,153.325,48.18333333333333,0.0,False,False,
230426A,02h31m35s -79° 21',180,Fermi,y,,y,,,,37.89583333333333,-79.35,0.0,False,,
230423A,08h10m25s -21° 55',3,Swift,,y,,,,,122.60416666666664,-21.916666666666668,0.0,False,False,
230421A,02h46m49s +01° 07',5,Swift,y,,,,,,41.70416666666666,1.1166666666666667,34966.37,False,True,
230420A,10h44m03s +32° 05',3,Swift,,y,y,,,,161.01249999999996,32.083333333333336,0.0,False,False,
230418AS,02h53m46s -20° 21',20*3,IPN,y,,,,,,43.44166666666666,-20.35,0.0,False,False,
230414B,12h04m17s +53° 08',3,Swift,,y,y,,,3.568,181.0708333333333,53.13333333333333,0.0,False,False,
230409B,21h58m07s +52° 51',3,Swift,,y,y,,,,329.5291666666666,52.85,0.0,False,False,
230405B,18h05m52s -47° 04',3,Swift,y,y,,,,,271.4666666666666,-47.06666666666667,71883.5,False,True,
230402A,06h25m36s -08° 54',24,Fermi,y,,,,,,96.39999999999999,-8.9,0.0,False,,
230328B,19h23m57s +80° 01',3,Swift,y,y,y,,,,290.98749999999995,80.01666666666667,53688.54,False,True,
230325A,19h47m17s -46° 06',3,Swift,,y,y,,,1.664,296.8208333333333,-46.1,0.0,False,False,
230322B,01h06m16s -47° 44',3,Swift,,y,y,,,,16.566666666666666,-47.733333333333334,0.0,False,False,
230309A,05h55m32s -62° 12',174*4,IPN,y,,,,,,88.88333333333333,-62.2,0.0,False,False,
230308AS,06h25m31s +66° 37',9*6,IPN,y,,,,,,96.37916666666665,66.61666666666666,0.0,False,False,
230307A,04h03m17s -75° 23',10*4,IPN,y,y,y,y,,,60.82083333333332,-75.38333333333334,56646.67,False,True,
230304B,07h21m46s -02° 07',24*6.5,IPN,y,,,,,,110.44166666666665,-2.1166666666666667,52549.14,False,True,
230228A,01h13m37s +44° 29',3,Swift,y,y,,,,,18.40416666666667,44.483333333333334,21050.25,False,True,
230220A,23h06m39s +18° 33',60,MAXI,,,,,,,346.66249999999997,18.55,0.0,False,False,
230217AS,18h43m05s -28° 51',3,Swift,y,y,y,y,,,280.7708333333333,-28.85,0.0,False,False,
230216A,07h35m52s -08° 01',3,Swift,,y,y,,,,113.96666666666664,-8.016666666666667,0.0,False,False,
230209B,05h57m28s +29° 12',144*7,IPN,y,,,,,,89.36666666666666,29.2,81156.89,False,True,
230205A,13h28m17s +46° 41',3,Swift,,y,,y,,,202.0708333333333,46.68333333333333,0.0,False,False,
230204B,13h10m15s -22° 02',60,MAXI,y,y,y,,,2.142,197.56249999999997,-22.033333333333335,0.0,False,True,
230204A,15h52m39s -50° 51',3,Swift,,y,,,,,238.1625,-50.85,0.0,False,False,
230123A,02h43m45s -65° 41',3,Swift,,y,,,,,40.9375,-65.68333333333334,0.0,False,False,
230116D,06h34m23s +49° 50',3,Swift,,y,y,,,,98.59583333333332,49.833333333333336,0.0,False,False,
230116C,14h53m51s -16° 52',3,Swift,,,,,,,223.46249999999995,-16.866666666666667,0.0,False,False,
230116BS,07h42m08s -43° 02',17*6,IPN,y,,,,,,115.53333333333333,-43.03333333333333,0.0,False,False,
230111A,21h20m45s -30° 29',60,MAXI,y,,,,,,320.18749999999994,-30.483333333333334,68862.9,False,True,
221231A,22h25m02s +25° 08',5,Swift,y,y,,,,,336.25833333333327,25.133333333333333,78365.13,False,True,
221226B,01h31m40s -41° 33',3,Swift,y,y,y,,,2.694,22.91666666666666,-41.55,81680.06,False,True,
221218A,23h22m36s -04° 15',1,INTEGRAL,,,,,,,350.65,-4.25,0.0,False,False,
221216A,21h44m05s -34° 24',3,Swift,y,y,,,,,326.0208333333333,-34.4,40880.95,False,True,
221215A,10h20m13s +46° 52',3,Swift,y,,,,,,155.05416666666665,46.86666666666667,15267.97,False,True,
221209A,15h26m34s +49° 51',137*15,IPN,y,,,,,,231.64166666666665,49.85,21024.85,False,True,
221206B,16h44m37s +42° 40',4,Swift,y,,,,,,251.15416666666664,42.666666666666664,44567.36,False,True,
221202A,05h08m23s -59° 48',3,Swift,,y,y,,,,77.09583333333333,-59.8,0.0,False,False,
221201A,17h47m44s -68° 16',3,Swift,y,y,,,,,266.9333333333333,-68.26666666666667,44705.68,False,True,
221121A,10h52m25s +69° 21',114*9,IPN,y,,,,,,163.10416666666666,69.35,23689.74,False,True,
221120AS,02h45m17s +43° 12',3,Swift,y,y,,,,,41.320833333333326,43.2,0.0,False,False,
221119A,09h38m24s -14° 30',36,Fermi,y,,,,,,144.59999999999997,-14.5,0.0,False,,
221115B,03h39m09s -16° 42',3,CALET,y,,,,,,54.787499999999994,-16.7,0.0,False,False,
221110A,01h56m29s -27° 19',3,Swift,,y,y,,,4.06,29.12083333333333,-27.316666666666666,0.0,False,False,
221028B,14h19m39s -36° 50',60,MAXI,,,,,,,214.9125,-36.833333333333336,0.0,False,False,
221028A,20h56m49s +41° 04',3,Swift,y,y,,,,,314.20416666666665,41.06666666666667,0.0,False,False,
221027B,15h02m25s +47° 27',3,Swift,,y,,,,,225.60416666666663,47.45,0.0,False,False,
221027A,12h21m07s -05° 41',23,Fermi,y,,,,,,185.27916666666664,-5.683333333333334,0.0,False,,
221025AS,08h53m31s +10° 59',76,Fermi,y,,,,,,133.37916666666666,10.983333333333333,0.0,False,,
221024A,11h18m52s +33° 02',3,Swift,y,y,y,,,,169.71666666666667,33.03333333333333,46827.12,False,True,
221023A,15h21m11s +15° 00',3,Fermi,y,,,,,,230.2958333333333,15.0,0.0,False,,
221022A,07h53m22s -05° 07',5,Swift,y,,,,,,118.34166666666664,-5.116666666666666,70413.55,False,True,
221017A,07h47m01s +39° 17',60,MAXI,y,,,,,,116.75416666666665,39.28333333333333,0.0,False,False,
221016A,02h35m48s -34° 37',3,Swift,y,y,y,,,,38.949999999999996,-34.61666666666667,85164.19,False,True,
221009A,19h13m03s +19° 48',3,Swift,y,y,y,y,,0.151,288.26249999999993,19.8,51017.99,False,True,
221008A,01h58m44s -18° 53',7.2*5.4,MAXI,,,,,,,29.68333333333333,-18.883333333333333,0.0,False,False,
221006A,22h29m18s +15° 42',6.6*5.4,MAXI,y,y,,,,,337.32499999999993,15.7,0.0,False,False,
220930A,04h18m57s +13° 21',3,Swift,y,y,,,,,64.73749999999998,13.35,0.0,False,False,
220927A,06h03m52s -22° 57',306*20,IPN,y,,,,,,90.96666666666664,-22.95,20180.95,False,True,
220926B,18h15m49s -37° 15',3,INTEGRAL,y,,,,,,273.95416666666665,-37.25,0.0,False,False,
220921A,04h27m10s -40° 15',25,Fermi,y,y,y,,,,66.79166666666667,-40.25,0.0,False,,
220910A,00h34m56s -01° 45',61*19,IPN,y,,,,,,8.733333333333333,-1.75,0.0,False,True,
220909A,14h24m11s -08° 51',3,Swift,y,,,,,,216.04583333333332,-8.85,24733.82,False,True,
220907A,17h55m29s -20° 19',3,Swift,y,y,,,,,268.8708333333333,-20.316666666666666,50725.76,False,True,
220905A,23h00m48s -35° 24',180,IPN,y,,,,,,345.19999999999993,-35.4,41323.7,False,True,
220903A,11h55m11s -29° 42',236*38,IPN,y,,,,,,178.7958333333333,-29.7,44178.17,False,True,
220831AS,01h37m01s -41° 45',2,Swift,y,y,y,,,,24.254166666666666,-41.75,0.0,False,False,
220826A,13h45m44s -44° 03',3,Swift,y,y,y,,,,206.4333333333333,-44.05,42921.74,False,True,
220813A,05h26m00s -32° 59',3,Swift,y,y,y,,,,81.5,-32.983333333333334,0.0,False,False,
220806A,17h23m30s -26° 01',3,Swift,,,,,,,260.87499999999994,-26.016666666666666,0.0,False,False,
220730AS,15h00m05s -69° 30',3,Swift,y,y,,,,,225.0208333333333,-69.5,0.0,False,False,
220715B,16h59m33s -33° 36',3,Swift,y,y,,,,,254.88749999999996,-33.6,80682.17,False,True,
220714B,03h08m17s -19° 20',3,Swift,y,y,y,,,,47.070833333333326,-19.333333333333332,50284.55,False,True,
220711B,17h27m58s +24° 40',3,Swift,y,y,y,,,,261.9916666666666,24.666666666666668,65788.69,False,True,
220710A,14h46m22s +20° 39',2,Swift,y,y,,,,,221.59166666666664,20.65,0.0,False,False,
220708B,16h34m36s +36° 20',5,Swift,y,y,,,,,248.64999999999998,36.333333333333336,0.0,False,False,
220708A,06h52m28s +72° 11',3,Swift,,y,,,,,103.11666666666666,72.18333333333334,0.0,False,False,
220706A,00h02m21s -16° 23',3,Swift,,y,,,,,0.5874999999999999,-16.383333333333333,0.0,False,False,
220701A,16h09m55s +55° 25',3,Swift,,y,,,,,242.47916666666663,55.416666666666664,0.0,False,False,
220627A,13h24m48s -32° 30',12,Fermi,y,y,y,y,,3.084,201.2,-32.5,0.0,False,,
220624A,11h57m24s +16° 41',33*4,Fermi,y,,,,,,179.34999999999997,16.683333333333334,0.0,False,,
220623A,09h41m51s +75° 50',3,Swift,y,y,,,,,145.46249999999998,75.83333333333333,0.0,False,False,
220618A,02h35m52s +55° 13',3,Swift,y,y,,,,,38.96666666666666,55.21666666666667,33029.92,False,True,
220617AS,10h27m50s +15° 32',5,Fermi,y,,,,,,156.95833333333331,15.533333333333333,0.0,False,,
220611A,04h26m06s -37° 17',3,Swift,,y,y,,,2.3608,66.525,-37.28333333333333,0.0,False,False,
220609B,23h11m10s +00° 23',114*8,IPN,y,,,,,,347.79166666666663,0.38333333333333336,0.0,False,False,
220606BS,01h53m54s -54° 55',5,Swift,y,,,,,,28.474999999999994,-54.916666666666664,0.0,False,False,
220601A,14h58m49s -47° 59',420*11,IPN,y,,,,,,224.70416666666662,-47.983333333333334,0.0,False,False,
220528AS,20h51m51s +18° 51',408*21,IPN,y,,,,,,312.9625,18.85,0.0,False,False,
220527A,21h34m17s +21° 34',5,Fermi,y,y,y,,,0.857,323.5708333333333,21.566666666666666,0.0,False,,
220525A,00h53m28s +16° 24',480*25,IPN,y,,,,,,13.366666666666665,16.4,654.24,False,True,
220524B,04h41m06s -19° 29',206*4,IPN,y,,,,,,70.275,-19.483333333333334,0.0,False,False,
220524A,01h23m27s +46° 35',100*5,IPN,y,,,,,,20.862499999999997,46.583333333333336,0.0,False,False,
220521B,03h41m51s +38° 59',558*5,IPN,y,,,,,,55.4625,38.983333333333334,0.0,False,False,
220521A,18h20m47s +10° 23',3,Swift,y,y,y,,,5.6,275.1958333333333,10.383333333333333,84021.44,False,True,
220519A,23h51m08s -09° 31',43*28,IPN,y,,,,,,357.7833333333333,-9.516666666666667,0.0,False,False,
220518A,03h41m29s -47° 34',3,Swift,,y,,,,,55.37083333333333,-47.56666666666667,0.0,False,False,
220514B,16h23m09s +61° 39',60,MAXI,y,,,,,,245.7875,61.65,0.0,False,False,
220514A,09h50m44s +13° 10',3,INTEGRAL,y,,y,,,,147.68333333333334,13.166666666666666,44670.53,False,True,
220511A,19h09m47s +17° 44',7,Swift,y,y,,,,,287.44583333333327,17.733333333333334,49316.87,False,True,
220506A,15h58m05s -27° 02',21,MAXI,y,y,,,,,239.5208333333333,-27.033333333333335,0.0,False,False,
220501A,05h42m18s +14° 02',3,Swift,y,,,,,,85.57499999999999,14.033333333333333,71511.22,False,True,
220430A,06h30m27s +09° 31',3,Swift,y,y,,,,,97.6125,9.516666666666667,0.0,False,False,
220427A,18h23m29s -56° 15',3,Swift,,y,y,,,,275.8708333333333,-56.25,0.0,False,False,
220426A,22h34m46s -23° 00',96*14,IPN,y,,,,,,338.6916666666666,-23.0,24591.23,False,True,
220423A,01h23m08s +22° 12',138*29,IPN,y,,,,,,20.783333333333328,22.2,0.0,False,False,
220418BS,14h57m19s -17° 30',5,Swift,y,,,,,,224.32916666666662,-17.5,0.0,False,False,
220414A,03h25m08s -00° 21',60,MAXI,,,,,,,51.283333333333324,-0.35,0.0,False,False,
220412BS,21h23m11s -00° 13',3,Swift,y,,,,,,320.7958333333333,-0.21666666666666667,0.0,False,False,
220412A,08h15m52s +30° 19',3,Swift,,y,y,,,,123.96666666666665,30.316666666666666,0.0,False,False,
220408B,06h10m09s -49° 37',240*48,IPN,y,,,,,,92.5375,-49.61666666666667,26884.65,False,True,
220408A,13h29m36s +47° 04',3,Swift,y,y,y,,,,202.39999999999995,47.06666666666667,20764.22,False,True,
220406AS,21h39m59s +64° 56',276*3,IPN,y,,,,,,324.9958333333333,64.93333333333334,0.0,False,False,
220404A,03h21m47s +10° 00',3,Swift,,,,,,,50.445833333333326,10.0,0.0,False,False,
220403C,01h10m17s -56° 14',18*4,IPN,y,,,,,,17.570833333333333,-56.233333333333334,36602.66,False,True,
220403B,12h44m06s +89° 10',3,Swift,y,y,y,,,,191.02499999999998,89.16666666666667,74562.65,False,True,
220325A,17h57m56s -07° 02',3,Swift,y,y,,,,,269.4833333333333,-7.033333333333333,62183.05,False,True,
220320A,06h16m36s -55° 55',7*3,IPN,y,,,,,,94.14999999999999,-55.916666666666664,0.0,False,True,
220319A,14h32m50s +61° 17',3,Swift,,y,,,,,218.20833333333331,61.28333333333333,0.0,False,False,
220311A,10h31m54s +66° 05',3,INTEGRAL,y,,,,,,157.975,66.08333333333333,59598.4,False,True,
220310C,19h20m17s +40° 15',5,Swift,y,,,,,,290.0708333333333,40.25,80631.43,False,True,
220310A,11h14m27s +23° 27',11,MAXI,y,,y,,,,168.61249999999998,23.45,0.0,False,False,
220308A,17h48m25s +11° 39',225*25,IPN,y,,,,,,267.10416666666663,11.65,0.0,False,True,
220306B,00h21m31s +71° 21',3,Swift,y,y,y,,,,5.3791666666666655,71.35,65737.47,False,True,
220305B,11h44m27s -32° 33',729*4,IPN,y,,,,,,176.11249999999998,-32.55,41600.48,False,True,
220305A,07h10m20s -37° 42',3,Swift,y,y,,,,,107.58333333333333,-37.7,58388.61,False,True,
