GRBa,GRB X-ray position,Error,Instrument,IPNb,XAb,OTb,RAb,IAUC,zc,position,sod,seen_by_fermi,name
240205B,23h25m54s -55° 08',3,Swift,y,y,y,y?,,0.824,"<SkyCoord (ICRS): (ra, dec) in deg
    (351.475, -55.13333333)>",79986.78,True,bn240205926
240204A,06h56m44s +01° 02',3,Swift,y,y,y,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (104.18333333, 1.03333333)>",54458.68,True,bn240204630
240123A,13h17m16s +60° 38',3,Swift,y,y,y,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (199.31666667, 60.63333333)>",39946.86,True,bn240123467
240115B,12h47m24s -35° 32',3,INTEGRAL,y,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (191.85, -35.53333333)>",60355.09,True,bn240115698
240112C,18h02m35s +24° 29',3,Swift,y,y,y,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (270.64583333, 24.48333333)>",63444.97,True,bn240112734
240107A,19h52m03s -68° 14',30,MAXI,,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (298.0125, -68.23333333)>",63444.97,True,bn240107739
231230A,16h20m47s +58° 07',3,Swift,y,y,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (245.19583333, 58.11666667)>",5348.73,True,bn231230062
231220A,01h49m17s +77° 54',5,Swift,y,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (27.32083333, 77.9)>",58217.4,True,bn231220674
231215A,00h39m00s +57° 39',3,Swift,y,y,y,,,y?,"<SkyCoord (ICRS): (ra, dec) in deg
    (9.75, 57.65)>",35245.27,True,bn231215408
231214A,20h22m57s -72° 26',3,Swift,y,y,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (305.7375, -72.43333333)>",73468.31,True,bn231214850
231205A,13h31m45s +17° 56',58*2.4,IPN,y,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (202.9375, 17.93333333)>",8711.41,True,bn231205101
231129C,00h47m38s -81° 38',4,MAXI,y,y,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (11.90833333, -81.63333333)>",69018.11,True,bn231129799
231118A,00h19m22s -48° 02',3,Swift,y,y,y,y,,0.8304,"<SkyCoord (ICRS): (ra, dec) in deg
    (4.84166667, -48.03333333)>",62193.2,True,bn231118720
231106A,07h33m48s +29° 13',0.1,TESS,y,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (113.45, 29.21666667)>",62193.2,True,bn231106725
231104A,01h35m09s +83° 37',3,Swift,y,y,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (23.7875, 83.61666667)>",6459.91,True,bn231104075
231028A,14h16m07s +20° 54',3,Swift,y,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (214.02916667, 20.9)>",14949.55,True,bn231028173
231020A,20h57m58s -29° 15',138*2,IPN,y,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (314.49166667, -29.25)>",68218.3,True,bn231020790
231018A,00h04m29s +47° 25',752*38,IPN,y,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (1.12083333, 47.41666667)>",45010.66,True,bn231018521
231017A,05h44m46s +56° 40',6,Swift,y,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (86.19166667, 56.66666667)>",29103.3,True,bn231017337
230913A,17h49m23s +74° 29',5,Swift,y,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (267.34583333, 74.48333333)>",28572.16,True,bn230913331
230906A,05h19m02s -47° 53',12*2,IPN,y,?,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (79.75833333, -47.88333333)>",46507.15,True,bn230906538
230903A,00h39m42s -40° 55',3,Swift,y,y,?,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (9.925, -40.91666667)>",62576.24,True,bn230903724
230826A,05h32m03s +66° 07',3,Swift,y,y,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (83.0125, 66.11666667)>",70367.07,True,bn230826814
230818A,19h03m32s +40° 53',3,Swift,y,y,y,n,,2.42,"<SkyCoord (ICRS): (ra, dec) in deg
    (285.88333333, 40.88333333)>",84454.35,True,bn230818977
230815A,12h18m54s -58° 03',3,Swift,y,y,y,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (184.725, -58.05)>",38995.94,True,bn230815451
230812B,17h48m25s +11° 39',3,Swift,y,y,y,y,,0.360,"<SkyCoord (ICRS): (ra, dec) in deg
    (267.10416667, 11.65)>",68292.05,True,bn230812790
230805B,13h50m59s +31° 11',3,Swift,y,y,y,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (207.74583333, 31.18333333)>",41031.07,True,bn230805475
230803A,10h02m02s -64° 59',168*3,IPN,y,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (150.50833333, -64.98333333)>",5228.15,True,bn230803061
230802A,05h04m53s +19° 34',3,Swift,y,y,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (76.22083333, 19.56666667)>",24626.16,True,bn230802285
230728A,22h54m09s +28° 09',3,Swift,y,y,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (343.5375, 28.15)>",10203.22,True,bn230728118
230723B,16h41m31s -05° 20',3,Swift,y,y,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (250.37916667, -5.33333333)>",42152.88,True,bn230723488
230723A,01h31m38s -67° 04',126*2,IPN,y,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (22.90833333, -67.06666667)>",16723.47,True,bn230723194
230707A,11h32m48s -16° 25',3,Swift,y,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (173.2, -16.41666667)>",12171.96,True,bn230707141
230606A,11h07m08s +36° 30',3,Swift,y,y,y,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (166.78333333, 36.5)>",12171.96,True,bn230606146
230510B,00h02m46s +27° 32',10,MAXI,y,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (0.69166667, 27.53333333)>",76894.01,True,bn230510890
230510A,21h12m37s +34° 27',3,Swift,y,y,y,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (318.15416667, 34.45)>",43588.58,True,bn230510503
230506C,08h57m30s +45° 08',3,Swift,y,y,?,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (134.375, 45.13333333)>",61759.35,True,bn230506715
230506B,21h47m58s +44° 32',3,Swift,y,y,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (326.99166667, 44.53333333)>",61759.35,True,bn230506715
230421A,02h46m49s +01° 07',5,Swift,y,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (41.70416667, 1.11666667)>",34966.37,True,bn230421405
230405B,18h05m52s -47° 04',3,Swift,y,y,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (271.46666667, -47.06666667)>",71883.5,True,bn230405832
230328B,19h23m57s +80° 01',3,Swift,y,y,y,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (290.9875, 80.01666667)>",53688.54,True,bn230328621
230307A,04h03m17s -75° 23',10*4,IPN,y,y,y,y,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (60.82083333, -75.38333333)>",56646.67,True,bn230307656
230304B,07h21m46s -02° 07',24*6.5,IPN,y,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (110.44166667, -2.11666667)>",52549.14,True,bn230304608
230228A,01h13m37s +44° 29',3,Swift,y,y,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (18.40416667, 44.48333333)>",21050.25,True,bn230228244
230209B,05h57m28s +29° 12',144*7,IPN,y,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (89.36666667, 29.2)>",81156.89,True,bn230209939
230204B,13h10m15s -22° 02',60,MAXI,y,y,y,,,2.142,"<SkyCoord (ICRS): (ra, dec) in deg
    (197.5625, -22.03333333)>",81156.89,True,bn230204944
230111A,21h20m45s -30° 29',60,MAXI,y,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (320.1875, -30.48333333)>",68862.9,True,bn230111797
221231A,22h25m02s +25° 08',5,Swift,y,y,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (336.25833333, 25.13333333)>",78365.13,True,bn221231907
221226B,01h31m40s -41° 33',3,Swift,y,y,y,,,2.694,"<SkyCoord (ICRS): (ra, dec) in deg
    (22.91666667, -41.55)>",81680.06,True,bn221226945
221216A,21h44m05s -34° 24',3,Swift,y,y,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (326.02083333, -34.4)>",40880.95,True,bn221216473
221215A,10h20m13s +46° 52',3,Swift,y,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (155.05416667, 46.86666667)>",15267.97,True,bn221215177
221209A,15h26m34s +49° 51',137*15,IPN,y,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (231.64166667, 49.85)>",21024.85,True,bn221209243
221206B,16h44m37s +42° 40',4,Swift,y,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (251.15416667, 42.66666667)>",44567.36,True,bn221206516
221201A,17h47m44s -68° 16',3,Swift,y,y,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (266.93333333, -68.26666667)>",44705.68,True,bn221201517
221121A,10h52m25s +69° 21',114*9,IPN,y,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (163.10416667, 69.35)>",23689.74,True,bn221121274
221024A,11h18m52s +33° 02',3,Swift,y,y,y,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (169.71666667, 33.03333333)>",46827.12,True,bn221024542
221022A,07h53m22s -05° 07',5,Swift,y,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (118.34166667, -5.11666667)>",70413.55,True,bn221022815
221016A,02h35m48s -34° 37',3,Swift,y,y,y,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (38.95, -34.61666667)>",85164.19,True,bn221016986
221009A,19h13m03s +19° 48',3,Swift,y,y,y,y,,0.151,"<SkyCoord (ICRS): (ra, dec) in deg
    (288.2625, 19.8)>",51017.99,True,bn221009595
220927A,06h03m52s -22° 57',306*20,IPN,y,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (90.96666667, -22.95)>",20180.95,True,bn220927234
220910A,00h34m56s -01° 45',61*19,IPN,y,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (8.73333333, -1.75)>",20180.95,True,bn220910239
220909A,14h24m11s -08° 51',3,Swift,y,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (216.04583333, -8.85)>",24733.82,True,bn220909286
220907A,17h55m29s -20° 19',3,Swift,y,y,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (268.87083333, -20.31666667)>",50725.76,True,bn220907587
220905A,23h00m48s -35° 24',180,IPN,y,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (345.2, -35.4)>",41323.7,True,bn220905478
220903A,11h55m11s -29° 42',236*38,IPN,y,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (178.79583333, -29.7)>",44178.17,True,bn220903511
220826A,13h45m44s -44° 03',3,Swift,y,y,y,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (206.43333333, -44.05)>",42921.74,True,bn220826497
220715B,16h59m33s -33° 36',3,Swift,y,y,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (254.8875, -33.6)>",80682.17,True,bn220715934
220714B,03h08m17s -19° 20',3,Swift,y,y,y,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (47.07083333, -19.33333333)>",50284.55,True,bn220714582
220711B,17h27m58s +24° 40',3,Swift,y,y,y,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (261.99166667, 24.66666667)>",65788.69,True,bn220711761
220618A,02h35m52s +55° 13',3,Swift,y,y,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (38.96666667, 55.21666667)>",33029.92,True,bn220618382
220525A,00h53m28s +16° 24',480*25,IPN,y,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (13.36666667, 16.4)>",654.24,True,bn220525008
220521A,18h20m47s +10° 23',3,Swift,y,y,y,,,5.6,"<SkyCoord (ICRS): (ra, dec) in deg
    (275.19583333, 10.38333333)>",84021.44,True,bn220521972
220514A,09h50m44s +13° 10',3,INTEGRAL,y,,y,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (147.68333333, 13.16666667)>",44670.53,True,bn220514517
220511A,19h09m47s +17° 44',7,Swift,y,y,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (287.44583333, 17.73333333)>",49316.87,True,bn220511571
220501A,05h42m18s +14° 02',3,Swift,y,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (85.575, 14.03333333)>",71511.22,True,bn220501828
220426A,22h34m46s -23° 00',96*14,IPN,y,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (338.69166667, -23.)>",24591.23,True,bn220426285
220408B,06h10m09s -49° 37',240*48,IPN,y,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (92.5375, -49.61666667)>",26884.65,True,bn220408311
220408A,13h29m36s +47° 04',3,Swift,y,y,y,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (202.4, 47.06666667)>",20764.22,True,bn220408240
220403C,01h10m17s -56° 14',18*4,IPN,y,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (17.57083333, -56.23333333)>",36602.66,True,bn220403424
220403B,12h44m06s +89° 10',3,Swift,y,y,y,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (191.025, 89.16666667)>",74562.65,True,bn220403863
220325A,17h57m56s -07° 02',3,Swift,y,y,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (269.48333333, -7.03333333)>",62183.05,True,bn220325725
220320A,06h16m36s -55° 55',7*3,IPN,y,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (94.15, -55.91666667)>",62183.05,True,bn220320725
220311A,10h31m54s +66° 05',3,INTEGRAL,y,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (157.975, 66.08333333)>",59598.4,True,bn220311690
220310C,19h20m17s +40° 15',5,Swift,y,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (290.07083333, 40.25)>",80631.43,True,bn220310933
220308A,17h48m25s +11° 39',225*25,IPN,y,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (267.10416667, 11.65)>",80631.43,True,bn220308938
220306B,00h21m31s +71° 21',3,Swift,y,y,y,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (5.37916667, 71.35)>",65737.47,True,bn220306761
220305B,11h44m27s -32° 33',729*4,IPN,y,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (176.1125, -32.55)>",41600.48,True,bn220305481
220305A,07h10m20s -37° 42',3,Swift,y,y,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (107.58333333, -37.7)>",58388.61,True,bn220305676
220219B,16h03m39s +31° 14',0.1,ZTF,y,y,y,y,,0.293,"<SkyCoord (ICRS): (ra, dec) in deg
    (240.9125, 31.23333333)>",58388.61,True,bn220219681
220219A,02h48m58s +10° 35',786*3,IPN,,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (42.24166667, 10.58333333)>",40894.1,True,bn220219473
220210A,23h03m07s +61° 50',2,Swift,y,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (345.77916667, 61.83333333)>",86198.37,True,bn220210998
220118A,12h49m06s +22° 55',3,Swift,y,y,y,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (192.275, 22.91666667)>",66038.09,True,bn220118764
220117C,19h05m50s +16° 47',2,Swift,y,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (286.45833333, 16.78333333)>",66038.09,True,bn220117769
220117A,06h06m19s -28° 25',3,Swift,y,y,,,,4.961,"<SkyCoord (ICRS): (ra, dec) in deg
    (91.57916667, -28.41666667)>",58731.54,True,bn220117685
220107A,11h19m03s +34° 08',10,Swift,y,y,y,,,1.246,"<SkyCoord (ICRS): (ra, dec) in deg
    (169.7625, 34.13333333)>",53131.93,True,bn220107615
220101A,00h05m31s +31° 45',3,Swift,y,y,y,y,,4.618,"<SkyCoord (ICRS): (ra, dec) in deg
    (1.37916667, 31.75)>",18611.51,True,bn220101215
211221A,05h15m45s +00° 56',3,Swift,y,y,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (78.9375, 0.93333333)>",74920.82,True,bn211221867
211219A,03h54m37s -34° 37',82*6,IPN,y,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (58.65416667, -34.61666667)>",53722.57,True,bn211219622
211211A,14h09m05s +27° 53',3,Swift,y,y,y,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (212.27083333, 27.88333333)>",47399.6,True,bn211211549
211207A,09h58m30s -24° 21',3,Swift,,y,y,,,2.272,"<SkyCoord (ICRS): (ra, dec) in deg
    (149.625, -24.35)>",75176.77,True,bn211207875
211204C,22h35m48s +52° 10',270*4,IPN,y,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (338.95, 52.16666667)>",77820.55,True,bn211204901
211130A,01h24m35s -27° 50',126*6.5,IPN,y,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (21.14583333, -27.83333333)>",54987.03,True,bn211130636
211129A,18h18m14s +31° 47',3,Swift,y,y,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (274.55833333, 31.78333333)>",35466.23,True,bn211129410
211120A,21h00m33s +42° 51',23*0.7,IPN,y,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (315.1375, 42.85)>",47386.84,True,bn211120548
211115A,08h11m30s -25° 40',60,MAXI,y,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (122.875, -25.66666667)>",47386.84,True,bn211115553
211106A,22h54m34s -53° 14',7,INTEGRAL,y,y,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (343.64166667, -53.23333333)>",16651.23,True,bn211106198
211019A,07h07m57s -38° 47',43*2,IPN,y,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (106.9875, -38.78333333)>",21571.19,True,bn211019250
210927B,17h32m05s +73° 47',76*2,IPN,y,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (263.02083333, 73.78333333)>",21571.19,True,bn210927255
210925B,03h15m16s -52° 52',138*2.5,IPN,y,n,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (48.81666667, -52.86666667)>",4808.68,True,bn210925056
210905A,20h36m15s -44° 26',3,Swift,y,y,,y,,6.318,"<SkyCoord (ICRS): (ra, dec) in deg
    (309.0625, -44.43333333)>",761.32,True,bn210905014
210824A,15h28m32s +11° 08',3,Swift,y,y,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (232.13333333, 11.13333333)>",15001.64,True,bn210824174
210822A,20h17m54s +05° 16',3,Swift,y,y,y,y,,1.736,"<SkyCoord (ICRS): (ra, dec) in deg
    (304.475, 5.26666667)>",33498.16,True,bn210822393
210807C,09h34m12s -51° 25',3,Swift,y,y,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (143.55, -51.41666667)>",82628.49,True,bn210807955
210731A,20h01m15s -28° 02',3,Swift,y,y,y,,,1.2525,"<SkyCoord (ICRS): (ra, dec) in deg
    (300.3125, -28.03333333)>",80468.53,True,bn210731931
210730A,09h58m22s +69° 42',3,Swift,y,y,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (149.59166667, 69.7)>",17849.21,True,bn210730207
210727A,12h36m55s -59° 56',548*22,IPN,y,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (189.22916667, -59.93333333)>",35446.74,True,bn210727410
210725B,12h51m44s +17° 07',3,Swift,,y,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (192.93333333, 17.11666667)>",43248.02,True,bn210725506
210725A,14h21m27s -01° 11',3,Swift,y,y,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (215.3625, -1.18333333)>",13622.93,True,bn210725158
210723A,08h06m54s -32° 50',3,Swift,y,y,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (121.725, -32.83333333)>",53170.91,True,bn210723615
210722A,01h48m06s -06° 21',3,Swift,y,y,y,,,1.145,"<SkyCoord (ICRS): (ra, dec) in deg
    (27.025, -6.35)>",75282.02,True,bn210722871
210712A,06h29m21s -35° 24',3,Swift,,y,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (97.3375, -35.4)>",34991.9,True,bn210712405
210708A,11h34m48s -49° 11',3,Swift,y,y,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (173.7, -49.18333333)>",8737.08,True,bn210708106
210707A,12h50m11s -63° 17',3,INTEGRAL,y,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (192.54583333, -63.28333333)>",80720.47,True,bn210707939
210706A,20h48m03s +13° 18',5,Swift,y,y,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (312.0125, 13.3)>",29869.86,True,bn210706346
210619B,21h18m51s +33° 52',3,Swift,y,y,y,,,1.937,"<SkyCoord (ICRS): (ra, dec) in deg
    (319.7125, 33.86666667)>",86365.41,True,bn210619999
210618A,15h43m17s +46° 03',3,Swift,y,y,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (235.82083333, 46.05)>",6217.0,True,bn210618072
210610B,16h15m45s +14° 23',3,Swift,y,y,y,,,1.13,"<SkyCoord (ICRS): (ra, dec) in deg
    (243.9375, 14.38333333)>",71487.51,True,bn210610827
210610A,13h37m08s +14° 29',3,Swift,y,y,y,,,3.54,"<SkyCoord (ICRS): (ra, dec) in deg
    (204.28333333, 14.48333333)>",54223.38,True,bn210610628
210605A,01h26m26s -45° 05',540*8,IPN,y,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (21.60833333, -45.08333333)>",54223.38,True,bn210605633
210531A,09h22m22s +08° 17',378*60,IPN,y,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (140.59166667, 8.28333333)>",43201.65,True,bn210531500
210524A,22h54m15s -46° 40',408*4,IPN,y,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (343.5625, -46.66666667)>",17999.09,True,bn210524208
210511B,20h51m39s +58° 23',456*6,IPN,y,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (312.9125, 58.38333333)>",41199.26,True,bn210511477
210506A,17h48m25s +11° 39',2580*222,INTEGRAL,y,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (267.10416667, 11.65)>",41199.26,True,bn210506482
210421B,18h03m16s +56° 50',5,INTEGRAL,y,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (270.81666667, 56.83333333)>",39284.81,True,bn210421455
210413B,12h10m14s +55° 58',3,Swift,,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (182.55833333, 55.96666667)>",39284.81,True,bn210413460
210410A,17h59m01s +45° 22',3,Swift,y,y,y,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (269.75416667, 45.36666667)>",3196.52,True,bn210410037
210406A,08h49m56s +76° 32',3,INTEGRAL,y,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (132.48333333, 76.53333333)>",61888.92,True,bn210406716
210402A,13h13m02s +44° 31',3,Swift,y,y,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (198.25833333, 44.51666667)>",79456.98,True,bn210402920
210318B,17h36m55s -35° 49',3,Swift,y,y,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (264.22916667, -35.81666667)>",79456.98,True,bn210318925
210308A,04h28m21s +37° 25',3,Swift,y,y,y,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (67.0875, 37.41666667)>",23876.85,True,bn210308276
210306B,22h07m23s +10° 10',3,Swift,y,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (331.84583333, 10.16666667)>",34334.27,True,bn210306397
210306A,08h39m52s +60° 12',3,Swift,y,y,y,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (129.96666667, 60.2)>",14037.06,True,bn210306162
210305A,21h19m15s +34° 33',3,Swift,y,y,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (319.8125, 34.55)>",68584.45,True,bn210305794
210226A,08h16m33s +57° 35',3,Swift,y,y,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (124.1375, 57.58333333)>",17037.23,True,bn210226197
210217A,06h30m26s +68° 43',3,Swift,y,y,y,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (97.60833333, 68.71666667)>",84342.3,True,bn210217981
210211A,17h57m44s -46° 18',3,Swift,y,y,y,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (269.43333333, -46.3)>",31398.34,True,bn210211363
210210A,17h31m15s +14° 39',3,Swift,y,y,y,,,0.715,"<SkyCoord (ICRS): (ra, dec) in deg
    (262.8125, 14.65)>",7227.91,True,bn210210089
210204A,07h48m19s +11° 25',0.01,ZTF,y,y,y,y,,0.876,"<SkyCoord (ICRS): (ra, dec) in deg
    (117.07916667, 11.41666667)>",23365.66,True,bn210204270
